source_id,publisher,title,report_year,geography,access_type,url,local_filename,bytes,sha256,collected_at_utc,public_role
int_mobile_qos_2019,Instance Nationale des Telecommunications (INT),Rapport d'evaluation de la QoS data mobile - Grand Tunis,2019,Grand Tunis,Mobile 3G/4G,https://www.intt.tn/upload/files/Rapport_final_campagne_QoS_mobile_GT_2019_Version_Finale.pdf,int-mobile-qos-grand-tunis-2019.pdf,1315073,50b1f609489cc00dc602a65304f0844a6347c114c3b36f1b79ee98d69d48181e,2026-08-01T16:12:28+00:00,Context only; not joined to firm-level WBES records.
int_fixed_qos_2020,Instance Nationale des Telecommunications (INT),Evaluation de la QoS Internet fixe - Rapport de synthese 2020,2020,24 governorates,Fixed ADSL 8 Mbps,https://www.intt.tn/upload/files/QoS%20Internet%202020%20Final.pdf,int-fixed-internet-qos-2020.pdf,616675,c6914ce73db82a53471f13a531c2685c3b3faf5310590531fab221f6f00f1835,2026-08-01T16:12:28+00:00,Context only; not joined to firm-level WBES records.
