category,raw_n,weighted_share
Only one provider available,21,0.034104116717464
Unable to switch,19,0.03491896183888039
Some difficulty,77,0.14625238266070037
Little difficulty,221,0.3225350112416905
No difficulty,297,0.4621895275412648
