conf.low,conf.high,component,term,estimate,std.error,statistic,p.value
-2.9685784348613775,-0.3199139084260514,occurrence,(Intercept),-1.6442461716437144,0.6756921421331348,-2.433425030595873,0.01524477649912781
-3.265077124676403,-1.399223270260741,occurrence,region2,-2.332150197468572,0.4759918725888026,-4.899558861760772,1.2342642935897166e-6
-2.324505073488142,-0.6839269398289566,occurrence,region3,-1.5042160066585493,0.41852252046462507,-3.594110073189456,3.5196829660461985e-4
-2.2477775746302324,-0.6659239033298705,occurrence,region4,-1.4568507389800516,0.4035415149915566,-3.610163229452448,3.3131709050549885e-4
-1.6837437594186704,1.1719554459300268,occurrence,sector2,-0.25589415674432187,0.7285080817489732,-0.351257814642195,0.7255170271646155
-1.280268251491733,1.5691863177074599,occurrence,sector3,0.14445903310786337,0.7269150330504356,0.19872891127543976,0.8425414604886228
-0.3322234414288685,2.5257036325493996,occurrence,sector4,1.0967400955602655,0.7290764260265069,1.5042868709080872,0.13302849686665766
-0.7104986032057246,1.9161997663802113,occurrence,sector5,0.6028505815872434,0.6700884277223965,0.899658249040814,0.3686594989869043
-0.20775470136383972,1.0352826674185158,occurrence,firm_size2,0.413763983027338,0.31710719650648583,1.304807924845929,0.19245352457487838
0.271110140272264,1.9370977291203382,occurrence,firm_size3,1.104103934696301,0.4250046434498726,2.597863227408538,0.009608582995350346
0.5131596734039943,2.01847579972669,duration,(Intercept),1.265817736565342,0.38401627228776586,3.29626067412266,0.001294602017229045
-1.0737220578088844,1.0906479400608107,duration,sector2,0.00846294112596324,0.5521453493385516,0.015327379169455126,0.9877968848405337
-1.4512496549734193,0.26081961410483456,duration,sector3,-0.5952150204342924,0.4367603901354409,-1.3627953309816263,0.17554213313619155
-1.8076129273793824,-0.043049893771596515,duration,sector4,-0.9253314105754894,0.4501519026692415,-2.055598132738308,0.04202779229743814
-1.5954201383914868,-0.02996533380847266,duration,sector5,-0.8126927360999797,0.3993580537528042,-2.034997738152597,0.04409177113863991
-0.7056739940172317,0.18022814358268513,duration,firm_size2,-0.2627229252172733,0.22599959606089706,-1.1624928973168647,0.24738101279250932
-1.0628069697980842,0.007577128444890668,duration,firm_size3,-0.5276149206765968,0.27306218550086336,-1.932215256055396,0.05572997203973192
